battery_id,discharge_cycle,ambient_temp_C,capacity_Ah,soh,voltage_max_V,voltage_min_V,temp_max_C
B0005,1,24.0,1.8622,1.0,4.191491807505295,2.612467347907089,38.98218133148803
B0005,2,24.0,1.85208,0.99574,4.189773213846608,2.587208728940726,39.033397966787035
B0005,3,24.0,1.84105,0.98981,4.188186735991303,2.6519168938437794,38.818796689817404
B0005,4,24.0,1.84091,0.98974,4.188461118855572,2.592947964776547,38.7623045063458
B0005,5,24.0,1.84036,0.98944,4.188298524761055,2.547419651124539,38.66539257343368
B0005,6,24.0,1.84133,0.98996,4.188815807948604,2.5209480504077413,38.75169504640032
B0005,7,24.0,1.84083,0.98969,4.18839163793879,2.487927319492314,38.8207012322275
B0005,8,24.0,1.83144,0.98464,4.188927891511958,2.6652049047458775,38.51713023385634
B0005,9,24.0,1.83048,0.98413,4.189029250882121,2.6038584726333673,38.526267904657
B0005,10,24.0,1.83027,0.98402,4.189223427076418,2.552853984885676,38.52698128472781
B0005,11,24.0,1.83025,0.984,4.188916055911241,2.4724483018527317,38.54143406601644
B0005,12,24.0,1.81985,0.97841,4.189876247266316,2.64956413267546,38.52197451768004
B0005,13,24.0,1.81934,0.97814,4.189286794768804,2.5724981777366227,38.582485834057856
B0005,14,24.0,1.81905,0.97799,4.188837765892728,2.5249886697730286,38.520294134873915
B0005,15,24.0,1.80821,0.97215,4.189110301768517,2.694621861688723,38.21358592965045
B0005,16,24.0,1.80771,0.97189,4.18921207304098,2.64010141737067,38.1983618706913
B0005,17,24.0,1.80822,0.97216,4.188899969428112,2.5739035098380962,38.31926916027133
B0005,18,24.0,1.80864,0.97239,4.188779799856791,2.4942396831720126,38.4787542519308
B0005,19,24.0,1.80838,0.97225,4.189272591516219,2.4556793246645583,38.54659017774874
B0005,20,24.0,1.85268,0.99607,4.187614060563439,2.632142800798914,38.44749852224995
B0005,21,24.0,1.85303,0.99625,4.1876287811083985,2.5027764692056795,38.992275791716615
B0005,22,24.0,1.84183,0.99023,4.187447226312926,2.617507742871704,38.51424197364312
B0005,23,24.0,1.83147,0.98466,4.187344026387161,2.694074478000972,38.165816144899125
B0005,24,24.0,1.83076,0.98428,4.187438187636325,2.6237674644021887,38.16526203587147
B0005,25,24.0,1.83117,0.9845,4.18774138117799,2.5010798299873738,38.27549578575718
